dataset,K,method__best_sparse,method__genetic_algorithm,method__gurobi_cardinality,method__no_sparsity_baseline,method__simulated_annealing,number_of_selected_assets__best_sparse,number_of_selected_assets__genetic_algorithm,number_of_selected_assets__gurobi_cardinality,number_of_selected_assets__no_sparsity_baseline,number_of_selected_assets__simulated_annealing,risk__best_sparse,risk__genetic_algorithm,risk__gurobi_cardinality,risk__no_sparsity_baseline,risk__simulated_annealing,solve_time__best_sparse,solve_time__genetic_algorithm,solve_time__gurobi_cardinality,solve_time__no_sparsity_baseline,solve_time__simulated_annealing,variance__best_sparse,variance__genetic_algorithm,variance__gurobi_cardinality,variance__no_sparsity_baseline,variance__simulated_annealing
port1,5,cardinality,genetic_algorithm,cardinality,no_sparsity,simulated_annealing,5,5,5,12,5,0.025829347202639,0.0258293480163089,0.025829347202639,0.0255217698005229,0.026605083665521,0.0295078754425048,3.4179388330085203,0.0295078754425048,0.0115511417388916,0.6197692089481279,0.0006671551769144,0.0006671552189476,0.0006671551769144,0.0006513607337508,0.0007078304768493
port1,10,cardinality,genetic_algorithm,cardinality,no_sparsity,simulated_annealing,10,10,10,12,10,0.0255260386267311,0.0255455120694327,0.0255260386267311,0.0255217698005229,0.0257253232278993,0.0168781280517578,4.647594708018005,0.0168781280517578,0.001105785369873,0.9362292919540778,0.0006515786479733,0.0006525731868895,0.0006515786479733,0.0006513607337508,0.0006617922551798
port1,20,cardinality,genetic_algorithm,cardinality,no_sparsity,simulated_annealing,11,20,11,12,20,0.0255217471328002,0.0255217471485146,0.0255217471328002,0.0255217698005229,0.0255217471692501,0.0028479099273681,13.388038500095718,0.0028479099273681,0.0011160373687744,2.666058083064854,0.0006513595767105,0.0006513595775127,0.0006513595767105,0.0006513607337508,0.0006513595785711
port2,5,cardinality,genetic_algorithm,cardinality,no_sparsity,simulated_annealing,5,5,5,28,5,0.0135512628393273,0.0136272399299153,0.0135512628393273,0.0116985450694272,0.0147952556982567,1.5498340129852295,2.619794875034131,1.5498340129852295,0.0070099830627441,0.4950827499851584,0.0001836367245405,0.0001857016681074,0.0001836367245405,0.0001368559567414,0.0002188995911767
port2,10,cardinality,genetic_algorithm,cardinality,no_sparsity,simulated_annealing,10,10,10,28,10,0.0121702190799967,0.0123907942569258,0.0121702190799967,0.0116985450694272,0.014347350996653,0.5214619636535645,4.688936208956875,0.5214619636535645,0.0053629875183105,1.021580334054306,0.0001481142324551,0.0001535317823174,0.0001481142324551,0.0001368559567414,0.0002058464806211
port2,20,cardinality,genetic_algorithm,cardinality,no_sparsity,simulated_annealing,20,20,20,28,20,0.01170738151184,0.0118064431503792,0.01170738151184,0.0116985450694272,0.012990262034763,0.1211459636688232,13.344758249935694,0.1211459636688232,0.0055580139160156,2.757835124968551,0.0001370627818637,0.0001393920998631,0.0001370627818637,0.0001368559567414,0.0001687469077318
port3,5,cardinality,genetic_algorithm,cardinality,no_sparsity,simulated_annealing,5,5,5,36,5,0.0154415145227058,0.0154415289081494,0.0154415145227058,0.014116661061342,0.016988997697392,7.010682821273804,2.8370149160036817,7.010682821273804,0.0061390399932861,0.5162315829657018,0.0002384403707549,0.0002384408150212,0.0002384403707549,0.0001992801195208,0.0002886260427619
port3,10,cardinality,genetic_algorithm,cardinality,no_sparsity,simulated_annealing,10,10,10,36,10,0.0143829647479779,0.0145641114562779,0.0143829647479779,0.014116661061342,0.0155974341497583,1.0793938636779783,4.71570666693151,1.0793938636779783,0.0059640407562255,0.948692417005077,0.0002068696749415,0.0002121133425108,0.0002068696749415,0.0001992801195208,0.000243279952056
port3,20,cardinality,genetic_algorithm,cardinality,no_sparsity,simulated_annealing,20,20,20,36,20,0.0141314238133934,0.0142456107320092,0.0141314238133934,0.014116661061342,0.0149311219485925,0.1696779727935791,13.126722874934783,0.1696779727935791,0.005836009979248,2.6741752499947324,0.0001996971389937,0.0002029374251279,0.0001996971389937,0.0001992801195208,0.0002229384026437
port4,5,cardinality,genetic_algorithm,cardinality,no_sparsity,simulated_annealing,5,5,5,39,5,0.0137502202076429,0.0139327514499184,0.0137502202076429,0.0114792183651176,0.0156011348189303,60.007391929626465,3.0707977910060436,60.007391929626465,0.007275104522705,0.5595518329646438,0.0001890685557586,0.0001941215629652,0.0001890685557586,0.000131772454274,0.0002433954076384
port4,10,cardinality,genetic_algorithm,cardinality,no_sparsity,simulated_annealing,10,10,10,39,10,0.0121235784474831,0.0125924472110458,0.0121235784474831,0.0114792183651176,0.0137056349617911,26.669458150863647,5.125479000038467,26.669458150863647,0.008213996887207,0.982594707980752,0.0001469811543722,0.0001585697267629,0.0001469811543722,0.000131772454274,0.0001878444297058
port4,20,cardinality,genetic_algorithm,cardinality,no_sparsity,simulated_annealing,20,20,20,39,20,0.0115244260021217,0.0118069447921432,0.0115244260021217,0.0114792183651176,0.0126764652677407,0.2588210105895996,16.656562875024974,0.2588210105895996,0.0081098079681396,2.6419058749452233,0.0001328123946783,0.0001394039453247,0.0001328123946783,0.000131772454274,0.0001606927716842
port5,5,cardinality,genetic_algorithm,cardinality,no_sparsity,simulated_annealing,5,5,5,17,5,0.0178145942985744,0.0183186653667742,0.0178145942985744,0.0174540193422459,0.0212303924280842,0.1098439693450927,2.894061875063926,0.1098439693450927,0.0647399425506591,0.573023583041504,0.0003173597700228,0.0003355735008198,0.0003173597700228,0.0003046427911994,0.0004507295626504
port5,10,cardinality,genetic_algorithm,cardinality,no_sparsity,simulated_annealing,10,10,10,17,10,0.0174585273611595,0.0181333878661743,0.0174585273611595,0.0174540193422459,0.0192918347418486,0.1010117530822753,4.974021499976516,0.1010117530822753,0.0412769317626953,1.0082508750492707,0.0003048001776203,0.0003288197555051,0.0003048001776203,0.0003046427911994,0.0003721748877067
port5,20,cardinality,genetic_algorithm,cardinality,no_sparsity,simulated_annealing,11,20,11,17,20,0.0174539606416337,0.0176566076122297,0.0174539606416337,0.0174540193422459,0.0187436138451639,0.017165184020996,14.17522650002502,0.017165184020996,0.0543107986450195,2.820496042026207,0.0003046407420797,0.0003117557923722,0.0003046407420797,0.0003046427911994,0.0003513230599766
