dataset,K,method,run_id,variance,risk,return,number_of_selected_assets,selected_indices,solve_time,status,elapsed_total_time,remaining_time_when_started,stopped_due_to_time_budget,original_number_of_assets,number_of_assets_used,reduced_instance,reduction_rule
port1,5,genetic_algorithm,1,0.0006671552189476015,0.025829348016308918,0.0035040685386740138,5,"[14, 25, 27, 28, 29]",3.4179388330085203,2,3.517299916013144,599.9006486670114,False,31,31,False,none
port1,5,genetic_algorithm,2,0.0006894928669103695,0.02625819618538885,0.0035040705310315575,5,"[4, 14, 25, 27, 29]",2.416006749961525,2,5.933358583017252,596.4826946250396,False,31,31,False,none
port1,5,genetic_algorithm,3,0.0006782172957093645,0.026042605394033917,0.003504074292575246,5,"[25, 27, 28, 29, 30]",2.3924532500095665,2,8.32589629094582,594.0665984590305,False,31,31,False,none
port1,5,simulated_annealing,1,0.0007081723088455022,0.026611507075802794,0.0035040676192709956,5,"[15, 16, 25, 27, 28]",0.5558045420330018,2,8.890463124960661,591.665349500021,False,31,31,False,none
port1,5,simulated_annealing,2,0.000707830476849375,0.02660508366552105,0.0035986115664921026,5,"[18, 25, 27, 28, 30]",0.6197692089481279,2,9.51025795796886,591.109531708993,False,31,31,False,none
port1,5,simulated_annealing,3,0.0007464977749497516,0.027322111465802778,0.0035040645924796737,5,"[1, 11, 15, 25, 27]",0.49922695895656943,2,10.009506999980658,590.4897375840228,False,31,31,False,none
port1,10,genetic_algorithm,1,0.0006525731868895331,0.025545512069432726,0.003504064756744201,10,"[1, 4, 8, 14, 15, 25, 27, 28, 29, 30]",4.647594708018005,2,14.707538375048898,589.940063667018,False,31,31,False,none
port1,10,genetic_algorithm,2,0.000655852554804473,0.025609618404116706,0.0035040645758668337,10,"[0, 1, 8, 12, 14, 15, 25, 27, 28, 29]",4.722436583018862,2,19.430019708001055,585.2924572089687,False,31,31,False,none
port1,10,genetic_algorithm,3,0.0006540211121497014,0.025573836476948494,0.0035040645745239483,10,"[1, 8, 12, 14, 15, 25, 27, 28, 29, 30]",4.639537667040713,2,24.069636833039112,580.5699388750363,False,31,31,False,none
port1,10,simulated_annealing,1,0.0006876056487376406,0.02622223576924059,0.0035040645239454438,10,"[6, 12, 13, 14, 18, 19, 22, 25, 27, 30]",1.059512666077353,2,25.13631254096981,575.9232078749919,False,31,31,False,none
port1,10,simulated_annealing,2,0.0006617922551798994,0.02572532322789938,0.0035041148181664044,10,"[3, 8, 9, 12, 14, 17, 25, 27, 28, 29]",0.9362292919540778,2,26.07256633299403,574.8636831670301,False,31,31,False,none
port1,10,simulated_annealing,3,0.0006756167342651572,0.025992628460106863,0.003504068238984268,10,"[9, 14, 15, 16, 22, 24, 25, 26, 27, 28]",0.9196990830823779,2,26.992289582965896,573.9274290000321,False,31,31,False,none
port1,20,genetic_algorithm,1,0.0006513595782960302,0.025521747163860672,0.0035040645187046004,20,"[2, 4, 5, 6, 7, 8, 10, 12, 14, 15, 16, 17, 18, 20, 22, 25, 27, 28, 29, 30]",13.321800417033955,2,40.35049129102845,572.9713357919827,False,31,31,False,none
port1,20,genetic_algorithm,2,0.0006513595775127146,0.02552174714851463,0.003504064518196498,20,"[3, 4, 5, 8, 9, 10, 12, 13, 14, 15, 16, 17, 20, 23, 24, 25, 27, 28, 29, 30]",13.388038500095718,2,53.73860154103022,559.6494727090467,False,31,31,False,none
port1,20,genetic_algorithm,3,0.0006513595776965032,0.025521747152115255,0.003504064517212249,20,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 25, 27, 28, 29, 30]",13.251005916972645,2,66.98965091595892,546.26139374997,False,31,31,False,none
port1,20,simulated_annealing,1,0.0006513595828958797,0.025521747253976945,0.00350406452314007,20,"[0, 2, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 18, 25, 26, 27, 28, 29, 30]",2.7306806249544024,2,69.73248558293562,532.9982032090193,False,31,31,False,none
port1,20,simulated_annealing,2,0.000651359578571126,0.02552174716925011,0.00350406451882869,20,"[0, 4, 6, 8, 10, 12, 14, 15, 16, 17, 19, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2.666058083064854,2,72.39856754103675,530.2675101669738,False,31,31,False,none
port1,20,simulated_annealing,3,0.0006513595801054018,0.025521747199308314,0.003504064519350434,20,"[0, 4, 6, 7, 8, 12, 13, 14, 15, 16, 18, 19, 21, 23, 24, 25, 27, 28, 29, 30]",2.635966750094667,2,75.03455766604748,527.6014265420381,False,31,31,False,none
port2,5,genetic_algorithm,1,0.0001857016681074782,0.013627239929915309,0.0015654786723126924,5,"[3, 18, 19, 48, 67]",2.619794875034131,2,79.39258887502365,523.2272288750391,False,85,85,False,none
port2,5,genetic_algorithm,2,0.00018643921626337355,0.013654274651674967,0.0017952030364958213,5,"[3, 11, 19, 48, 67]",2.369384500081651,2,81.76202383299824,520.6073906669626,False,85,85,False,none
port2,5,genetic_algorithm,3,0.0001870156324159966,0.013675365896969506,0.0023557783221144933,5,"[3, 12, 18, 48, 67]",2.38440654205624,2,84.14645679097157,518.2379709590459,False,85,85,False,none
port2,5,simulated_annealing,1,0.00023339359256026586,0.015277224635393232,0.001874751403932313,5,"[3, 9, 23, 48, 84]",0.48112858401145786,2,84.6349513749592,515.8461854590569,False,85,85,False,none
port2,5,simulated_annealing,2,0.00021889959117679742,0.014795255698256703,0.0027215295594991,5,"[3, 12, 39, 45, 67]",0.49508274998515844,2,85.13005662499927,515.3650437500328,False,85,85,False,none
port2,5,simulated_annealing,3,0.00023718291017318753,0.015400743818828607,0.0016924800973257387,5,"[3, 11, 20, 44, 67]",0.4634070419706404,2,85.59348512499128,514.8699390840484,False,85,85,False,none
port2,10,genetic_algorithm,1,0.00015362395092881223,0.012394512936328407,0.0021830793317784702,10,"[1, 2, 3, 11, 12, 18, 33, 48, 67, 84]",4.756310665979981,2,91.05560600000899,513.7007239169907,False,85,85,False,none
port2,10,genetic_algorithm,2,0.00015475593394143335,0.012440093807581732,0.0021856503341985416,10,"[1, 2, 3, 11, 19, 48, 50, 58, 67, 70]",4.794223458040506,2,95.84987108304631,508.944374792045,False,85,85,False,none
port2,10,genetic_algorithm,3,0.0001535317823174673,0.012390794256925878,0.0018713247856250905,10,"[1, 3, 11, 18, 19, 28, 34, 48, 50, 67]",4.688936208956875,2,100.53885329095647,504.150103708962,False,85,85,False,none
port2,10,simulated_annealing,1,0.00020584648062116177,0.014347350996653067,0.0014916493547781455,10,"[4, 19, 35, 48, 54, 66, 67, 81, 82, 84]",1.0215803340543061,2,101.5684522909578,499.4531359169632,False,85,85,False,none
port2,10,simulated_annealing,2,0.00022233817679988106,0.014911008577553736,0.0017150381558668805,10,"[1, 3, 11, 15, 35, 50, 60, 81, 82, 84]",0.9579223340842873,2,102.5264049579855,498.4315395420417,False,85,85,False,none
port2,10,simulated_annealing,3,0.00021930503575386017,0.014808951203709876,0.0014910707350463365,10,"[2, 3, 45, 49, 50, 53, 55, 57, 67, 77]",0.9369288750458509,2,103.46335579094011,497.4735909999581,False,85,85,False,none
port2,20,genetic_algorithm,1,0.0001393920998631363,0.011806443150379216,0.002257411597418765,20,"[0, 1, 2, 3, 5, 11, 12, 17, 18, 28, 34, 36, 48, 50, 58, 66, 67, 70, 73, 84]",13.344758249935694,2,117.10387824999634,496.24089129199274,False,85,85,False,none
port2,20,genetic_algorithm,2,0.00014156364013778657,0.011898051947179697,0.002156488077095664,20,"[1, 2, 3, 5, 7, 9, 11, 12, 14, 17, 18, 19, 31, 48, 50, 58, 61, 66, 67, 84]",13.365658542024903,2,130.46957529103383,482.8961126250215,False,85,85,False,none
port2,20,genetic_algorithm,3,0.00014219849294057682,0.01192470095811953,0.002205725653205558,20,"[1, 2, 3, 5, 7, 11, 12, 18, 19, 34, 40, 48, 52, 56, 58, 61, 66, 67, 70, 84]",13.829746708041057,2,144.2993844159646,469.5303901670268,False,85,85,False,none
port2,20,simulated_annealing,1,0.00017649153427762277,0.01328501164010114,0.0023548123348826043,20,"[0, 1, 2, 3, 5, 7, 9, 12, 16, 23, 32, 33, 38, 42, 43, 48, 56, 61, 63, 72]",3.219131916994229,2,147.52774637495168,455.69141404202674,False,85,85,False,none
port2,20,simulated_annealing,2,0.00017489019106812289,0.013224605516540857,0.0024736097311078443,20,"[1, 2, 3, 6, 9, 12, 14, 15, 19, 24, 31, 35, 41, 46, 48, 54, 60, 65, 70, 72]",2.6606722079450265,2,150.18854074995033,452.47218449995853,False,85,85,False,none
port2,20,simulated_annealing,3,0.0001687469077318075,0.012990262034763098,0.00200877405404416,20,"[0, 3, 10, 12, 14, 17, 18, 19, 24, 28, 32, 34, 39, 47, 50, 52, 64, 67, 72, 81]",2.757835124968551,2,152.94639774993993,449.8114544999553,False,85,85,False,none
port3,5,genetic_algorithm,1,0.0002384408150212147,0.015441528908149435,0.0026615245424729712,5,"[1, 19, 40, 45, 61]",2.8370149160036817,2,163.0877201659605,439.7493047500029,False,89,89,False,none
port3,5,genetic_algorithm,2,0.000245636028320118,0.015672779852984535,0.0032497001623544353,5,"[1, 24, 29, 45, 61]",2.481261209002696,2,165.569014083012,436.91226474998984,False,89,89,False,none
port3,5,genetic_algorithm,3,0.0002473643958889883,0.01572782235050321,0.0027482221910881143,5,"[1, 24, 45, 72, 74]",2.3303775410167873,2,167.89941304095555,434.430981875048,False,89,89,False,none
port3,5,simulated_annealing,1,0.0003073061330496798,0.01753014925919571,0.003348827337892633,5,"[1, 16, 52, 74, 76]",0.47518808394670486,2,168.37992724997457,432.09526837500744,False,89,89,False,none
port3,5,simulated_annealing,2,0.00028862604276199257,0.016988997697392056,0.0026614271053541265,5,"[8, 24, 36, 44, 45]",0.5162315829657018,2,168.89619387499988,431.6200685000513,False,89,89,False,none
port3,5,simulated_annealing,3,0.00029147787479011253,0.017072723121696564,0.0033435182246532714,5,"[1, 29, 45, 49, 52]",0.4850142919458449,2,169.38127833302133,431.10376866697334,False,89,89,False,none
port3,10,genetic_algorithm,1,0.0002177156953456573,0.014755192148720304,0.0026614270393322376,10,"[1, 2, 19, 23, 25, 32, 40, 45, 55, 61]",4.712961292010732,2,175.39530795800965,429.31766733399127,False,89,89,False,none
port3,10,genetic_algorithm,2,0.00021836312575306157,0.014777114933337346,0.002661428253256845,10,"[1, 19, 23, 40, 45, 55, 60, 61, 71, 77]",4.661727291997522,2,180.05707587499637,424.6046730419621,False,89,89,False,none
port3,10,genetic_algorithm,3,0.0002121133425108852,0.014564111456277902,0.0026614285963361614,10,"[1, 2, 19, 22, 24, 29, 40, 45, 55, 61]",4.71570666693151,2,184.77281845803373,419.94291979202535,False,89,89,False,none
port3,10,simulated_annealing,1,0.00024327995205604885,0.015597434149758378,0.002661427791064091,10,"[3, 5, 6, 19, 36, 45, 61, 63, 75, 82]",0.948692417005077,2,185.73235912504606,415.2163411669899,False,89,89,False,none
