dataset,K,method,best_variance,average_variance,std_variance,best_risk,average_risk,average_solve_time,best_return,number_of_selected_assets,best_selected_indices,mip_gap,status,elapsed_total_time,remaining_time_when_started,stopped_due_to_time_budget,original_number_of_assets,number_of_assets_used,reduced_instance,reduction_rule
port1,5,no_sparsity,0.0006513607337508866,0.0006513607337508866,0.0,0.025521769800522974,0.025521769800522974,0.011551141738891602,0.00350406471068544,12,"[1, 4, 8, 12, 14, 15, 16, 25, 27, 28, 29, 30]",,,0.0007764579495415092,599.9992235420505,False,31,31,False,none
port1,5,cardinality,0.0006671551769144798,0.0006671551769144798,0.0,0.025829347202639092,0.025829347202639092,0.029507875442504883,0.003504064516129032,5,"[14, 25, 27, 28, 29]",0.0,2.0,0.05491258297115564,599.9450874170288,False,31,31,False,none
port1,5,genetic_algorithm,0.0006671552189476015,0.0006782884605224452,9.119445430876618e-06,0.025829348016308918,0.026043383198577227,2.742132944326537,0.0035040685386740138,5,"[14, 25, 27, 28, 29]",,2.0,0.09934962494298816,599.900650375057,False,31,31,False,none
port1,5,simulated_annealing,0.000707830476849375,0.0007208335202148762,1.814790512429871e-05,0.02660508366552105,0.02684623406904221,0.5582669033125663,0.0035986115664921026,5,"[18, 25, 27, 28, 30]",,2.0,8.334648957941681,591.6653510420583,False,31,31,False,none
port1,10,no_sparsity,0.0006513607337508866,0.0006513607337508866,0.0,0.025521769800522974,0.025521769800522974,0.0011057853698730469,0.00350406471068544,12,"[1, 4, 8, 12, 14, 15, 16, 25, 27, 28, 29, 30]",,,10.013234458048828,589.9867655419512,False,31,31,False,none
port1,10,cardinality,0.0006515786479733713,0.0006515786479733713,0.0,0.025526038626731164,0.025526038626731164,0.016878128051757812,0.003504064516129032,10,"[4, 8, 12, 14, 15, 25, 27, 28, 29, 30]",0.0,2.0,10.028669166029431,589.9713308339706,False,31,31,False,none
port1,10,genetic_algorithm,0.0006525731868895331,0.0006541489512812359,1.3418446539616103e-06,0.025545512069432726,0.025576322316832642,4.6698563193591935,0.003504064756744201,10,"[1, 4, 8, 14, 15, 25, 27, 28, 29, 30]",,2.0,10.059935332974419,589.9400646670256,False,31,31,False,none
port1,10,simulated_annealing,0.0006617922551798994,0.0006750048793942323,1.054715116446191e-05,0.02572532322789938,0.025980062485748943,0.9718136803712696,0.0035041148181664044,10,"[3, 8, 9, 12, 14, 17, 25, 27, 28, 29]",,2.0,24.076791040948592,575.9232089590514,False,31,31,False,none
port1,20,no_sparsity,0.0006513607337508866,0.0006513607337508866,0.0,0.025521769800522974,0.025521769800522974,0.001116037368774414,0.00350406471068544,12,"[1, 4, 8, 12, 14, 15, 16, 25, 27, 28, 29, 30]",,,26.99599650001619,573.0040034999838,False,31,31,False,none
port1,20,cardinality,0.0006513595767105953,0.0006513595767105953,0.0,0.025521747132800202,0.025521747132800202,0.002847909927368164,0.0035040645161290326,11,"[4, 8, 12, 14, 15, 16, 25, 27, 28, 29, 30]",0.0,2.0,27.01108095794916,572.9889190420508,False,31,31,False,none
