dataset,K,method,run_id,variance,risk,return,number_of_selected_assets,selected_indices,solve_time,status,elapsed_total_time,remaining_time_when_started,stopped_due_to_time_budget,original_number_of_assets,number_of_assets_used,reduced_instance,reduction_rule
port1,5,genetic_algorithm,1,0.0006676334696918102,0.025838604252006535,0.0035415337670898703,5,"[14, 25, 27, 28, 29]",3.1425051249098033,2,3.231203500065021,599.9113155839732,False,31,30,True,first_30_assets
port1,5,genetic_algorithm,2,0.0006944247047183836,0.02635193929710646,0.0039061315285883217,5,"[1, 14, 25, 27, 28]",2.347393250092864,2,5.578650832991116,596.7687762919813,False,31,30,True,first_30_assets
port1,5,genetic_algorithm,3,0.0006845883152394171,0.026164638641483606,0.003541535051824677,5,"[12, 14, 25, 27, 29]",2.2953722500242293,2,7.874048875062726,594.421341166948,False,31,30,True,first_30_assets
port1,5,simulated_annealing,1,0.0007318956922268523,0.027053570785145024,0.0035415335568259273,5,"[3, 14, 16, 25, 27]",0.4978504170430824,2,8.37936800008174,592.118490666966,False,31,30,True,first_30_assets
port1,5,simulated_annealing,2,0.0007182608608482722,0.02680038919210451,0.0035423118824149218,5,"[1, 13, 14, 25, 27]",0.4810502079781145,2,8.860440791002475,591.62062766694,False,31,30,True,first_30_assets
port1,5,simulated_annealing,3,0.000725994519469693,0.02694428546964445,0.003541533335403822,5,"[8, 22, 25, 27, 29]",0.46879341697786003,2,9.329259333084337,591.1395541249076,False,31,30,True,first_30_assets
port1,10,genetic_algorithm,1,0.0006548587605391551,0.025590208294172894,0.003541533340497268,10,"[4, 8, 11, 12, 14, 15, 25, 27, 28, 29]",4.586813124944456,2,13.952471708063968,590.6343484999379,False,31,30,True,first_30_assets
port1,10,genetic_algorithm,2,0.0006548587525391674,0.025590208137863345,0.0035415333591263254,10,"[2, 4, 8, 12, 14, 15, 25, 27, 28, 29]",4.593097958015278,2,18.545597791089676,586.047523416928,False,31,30,True,first_30_assets
port1,10,genetic_algorithm,3,0.0006562989787766711,0.025618332864897182,0.003541533338403472,10,"[4, 8, 14, 15, 19, 21, 25, 27, 28, 29]",4.7586962500354275,2,23.304334665997885,581.4543924169848,False,31,30,True,first_30_assets
port1,10,simulated_annealing,1,0.000662139260398807,0.02573206677277997,0.003541534344958265,10,"[3, 5, 8, 12, 14, 23, 25, 27, 28, 29]",0.9915325000183657,2,24.30262183304876,576.688921624911,False,31,30,True,first_30_assets
port1,10,simulated_annealing,2,0.0006676340213590359,0.025838614927256375,0.0035415520595616437,10,"[5, 7, 14, 18, 20, 23, 25, 27, 28, 29]",0.9438932919874787,2,25.246550291078165,575.6973654169124,False,31,30,True,first_30_assets
port1,10,simulated_annealing,3,0.0006664426964269331,0.02581555144533878,0.0035415334727626163,10,"[3, 8, 10, 14, 17, 21, 25, 27, 28, 29]",0.9136762910056859,2,26.160247583058663,574.7534452920081,False,31,30,True,first_30_assets
port1,20,genetic_algorithm,1,0.0006546876744928879,0.025586865272887335,0.003541533335080904,20,"[0, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 16, 19, 21, 24, 25, 27, 28, 29]",13.076175041031092,2,39.271400041063316,573.8047823749948,False,31,30,True,first_30_assets
port1,20,genetic_algorithm,2,0.0006546876740140725,0.02558686526353067,0.003541533334930329,20,"[0, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 19, 21, 23, 25, 27, 28, 29]",13.040843458031304,2,52.312290041008964,560.728580874973,False,31,30,True,first_30_assets
port1,20,genetic_algorithm,3,0.0006546876736218108,0.025586865255865378,0.0035415333364091873,20,"[2, 4, 5, 6, 7, 8, 10, 12, 14, 15, 16, 17, 18, 20, 23, 25, 26, 27, 28, 29]",13.18030829099007,2,65.49264437507372,547.6877035419457,False,31,30,True,first_30_assets
port1,20,simulated_annealing,1,0.0006546883753871458,0.025586878969251912,0.003541533514663275,20,"[0, 1, 2, 4, 5, 6, 8, 12, 14, 15, 16, 18, 19, 21, 24, 25, 26, 27, 28, 29]",2.67898404202424,2,68.18041091610212,534.4985809999052,False,31,30,True,first_30_assets
port1,20,simulated_annealing,2,0.0006555673691843219,0.025604049859042258,0.003541533474420624,20,"[0, 1, 2, 3, 4, 7, 11, 12, 14, 15, 16, 18, 20, 21, 22, 24, 25, 27, 28, 29]",2.6435542079852894,2,70.8239955410827,531.8195757089416,False,31,30,True,first_30_assets
port1,20,simulated_annealing,3,0.0006546876782548569,0.025586865346401012,0.003541533338673988,20,"[0, 2, 3, 4, 5, 6, 8, 10, 12, 14, 15, 16, 17, 19, 20, 23, 25, 27, 28, 29]",2.6123505840077996,2,73.43637316604145,529.1759962089127,False,31,30,True,first_30_assets
port2,5,genetic_algorithm,1,0.00021904441505838214,0.014800149156626164,0.002177900998472627,5,"[3, 9, 11, 12, 18]",3.1517024169443175,2,76.71406583301723,526.4376577090006,False,85,30,True,first_30_assets
port2,5,genetic_algorithm,2,0.00021959763929701304,0.014818827190335037,0.002176305952325656,5,"[3, 11, 12, 18, 19]",2.3394175419816747,2,79.05354412505403,523.2859067089157,False,85,30,True,first_30_assets
port2,5,genetic_algorithm,3,0.00021959763929701304,0.014818827190335037,0.002176305952325656,5,"[3, 11, 12, 18, 19]",2.444897124893032,2,81.498466958059,520.9464509589598,False,85,30,True,first_30_assets
port2,5,simulated_annealing,1,0.00023813523939630234,0.015431631132070982,0.002616288147210105,5,"[3, 9, 12, 18, 28]",0.5421551249455661,2,82.04834220802877,518.4938365839189,False,85,30,True,first_30_assets
port2,5,simulated_annealing,2,0.00022805639155954206,0.015101536066226577,0.002176306848940078,5,"[3, 8, 11, 12, 18]",0.47520441689994186,2,82.52361100004055,517.9516286249273,False,85,30,True,first_30_assets
port2,5,simulated_annealing,3,0.00023930764059338565,0.015469571441813948,0.0022195065556334056,5,"[2, 3, 12, 14, 19]",0.475906667066738,2,82.99953875003848,517.4763847090071,False,85,30,True,first_30_assets
port2,10,genetic_algorithm,1,0.00017973138016731858,0.013406393257223159,0.0021826490795154676,10,"[1, 2, 3, 7, 9, 11, 12, 18, 19, 21]",4.618130457936786,2,87.67693966603838,516.9411978749558,False,85,30,True,first_30_assets
port2,10,genetic_algorithm,2,0.00018000492205263376,0.013416591297816065,0.0021764174801604677,10,"[0, 1, 2, 3, 9, 11, 12, 18, 19, 21]",4.91804024996236,2,92.59500741609372,512.3230559589574,False,85,30,True,first_30_assets
port2,10,genetic_algorithm,3,0.00017973138016731858,0.013406393257223159,0.0021826490795154676,10,"[1, 2, 3, 7, 9, 11, 12, 18, 19, 21]",4.541712583974004,2,97.13674895802978,507.4049844999099,False,85,30,True,first_30_assets
port2,10,simulated_annealing,1,0.00020117485451862468,0.014183612181620895,0.0022319368121960434,10,"[1, 2, 3, 7, 10, 12, 18, 19, 25, 29]",1.033529374981299,2,98.17810625000857,502.85543087497354,False,85,30,True,first_30_assets
port2,10,simulated_annealing,2,0.0002013935183244963,0.014191318413892921,0.0025022242610509104,10,"[1, 2, 3, 4, 7, 9, 12, 17, 18, 21]",0.9196417080238461,2,99.0977689580759,501.8218898338964,False,85,30,True,first_30_assets
port2,10,simulated_annealing,3,0.0001982863944825198,0.014081420186988236,0.0022133918802840842,10,"[0, 1, 2, 3, 11, 12, 16, 18, 20, 23]",0.9310537920100614,2,100.02884408307727,500.9022267089458,False,85,30,True,first_30_assets
port2,20,genetic_algorithm,1,0.00017648242045397418,0.01328466862416877,0.0023454188054483696,20,"[0, 1, 2, 3, 5, 7, 8, 9, 11, 12, 14, 15, 17, 18, 19, 21, 23, 27, 28, 29]",13.957388249924406,2,114.02553845802322,499.93187141697854,False,85,30,True,first_30_assets
port2,20,genetic_algorithm,2,0.00017648242043774836,0.013284668623558073,0.0023454187106156476,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 14, 15, 17, 18, 19, 21, 26, 28, 29]",13.131159833981656,2,127.15676358307246,485.97443462500814,False,85,30,True,first_30_assets
port2,20,genetic_algorithm,3,0.00017648242390713072,0.013284668754136503,0.002345417771981079,20,"[0, 1, 2, 3, 5, 6, 7, 9, 11, 12, 14, 15, 16, 17, 18, 19, 21, 23, 28, 29]",13.373308834037744,2,140.53010445809923,472.8432315419195,False,85,30,True,first_30_assets
port2,20,simulated_annealing,1,0.00017737438135475024,0.013318197376325005,0.0023303771837149645,20,"[0, 1, 2, 3, 6, 7, 8, 9, 11, 12, 15, 18, 19, 20, 21, 22, 23, 24, 28, 29]",2.688857208006084,2,143.22824220801704,459.46062299993355,False,85,30,True,first_30_assets
port2,20,simulated_annealing,2,0.00017650293831510979,0.013285440840074136,0.0023409516439256038,20,"[0, 1, 2, 3, 4, 5, 7, 9, 11, 12, 13, 14, 15, 17, 18, 19, 21, 24, 27, 28]",2.6245189579203725,2,145.85278379102238,456.7717520839069,False,85,30,True,first_30_assets
port2,20,simulated_annealing,3,0.0001772134281044246,0.01331215339847106,0.0023301617809630853,20,"[0, 1, 2, 3, 7, 8, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 25, 27, 28]",2.6279583330033347,2,148.48076566599775,454.1472115839133,False,85,30,True,first_30_assets
port3,5,genetic_algorithm,1,0.0002791654140779516,0.016708243895692677,0.002993967067155107,5,"[1, 2, 19, 24, 29]",2.536713832989335,2,151.11703691608272,451.41968524991535,False,89,30,True,first_30_assets
port3,5,genetic_algorithm,2,0.0002914955686890245,0.017073241305886368,0.002993967188732348,5,"[1, 2, 19, 22, 24]",2.2950331249739975,2,153.4120936250547,448.8829566249624,False,89,30,True,first_30_assets
port3,5,genetic_algorithm,3,0.00028361085866131366,0.016840749943553987,0.002993976780758182,5,"[1, 19, 24, 25, 29]",2.295980166993104,2,155.70810466608964,446.58790191693697,False,89,30,True,first_30_assets
