dataset,K,method,best_variance,average_variance,std_variance,best_risk,average_risk,average_solve_time,best_return,number_of_selected_assets,best_selected_indices,mip_gap,status,elapsed_total_time,remaining_time_when_started,stopped_due_to_time_budget,original_number_of_assets,number_of_assets_used,reduced_instance,reduction_rule
port1,5,no_sparsity,0.0006546898286312237,0.0006546898286312237,0.0,0.025586907367464787,0.025586907367464787,0.006513833999633789,0.003541533477941653,11,"[1, 4, 8, 12, 14, 15, 16, 25, 27, 28, 29]",,,0.000816666055470705,599.9991833339445,False,31,30,True,first_30_assets
port1,5,cardinality,0.0006676334631503664,0.0006676334631503664,0.0,0.025838604125423773,0.025838604125423773,0.030551910400390625,0.0035415333333333335,5,"[14, 25, 27, 28, 29]",0.0,2.0,0.0428176251007244,599.9571823748993,False,31,30,True,first_30_assets
port1,5,genetic_algorithm,0.0006676334696918102,0.0006822154965498702,1.1065419707731223e-05,0.025838604252006535,0.0261183940635322,2.595090208342299,0.0035415337670898703,5,"[14, 25, 27, 28, 29]",,2.0,0.08868291601538658,599.9113170839846,False,31,30,True,first_30_assets
port1,5,simulated_annealing,0.0007182608608482722,0.0007253836908482726,5.58312877540531e-06,0.02680038919210451,0.026932748482297996,0.48256468066635233,0.0035423118824149218,5,"[1, 13, 14, 25, 27]",,2.0,7.8815077500185,592.1184922499815,False,31,30,True,first_30_assets
port1,10,no_sparsity,0.0006546898286312237,0.0006546898286312237,0.0,0.025586907367464787,0.025586907367464787,0.0010631084442138672,0.003541533477941653,11,"[1, 4, 8, 12, 14, 15, 16, 25, 27, 28, 29]",,,9.33287141600158,590.6671285839984,False,31,30,True,first_30_assets
port1,10,cardinality,0.0006546876720344785,0.0006546876720344785,0.0,0.025586865224846878,0.025586865224846878,0.0027730464935302734,0.003541533333333333,10,"[4, 8, 12, 14, 15, 16, 25, 27, 28, 29]",0.0,2.0,9.347140916041099,590.6528590839589,False,31,30,True,first_30_assets
port1,10,genetic_algorithm,0.0006548587525391674,0.0006553388306183312,6.789272737137601e-07,0.025590208137863345,0.025599583098977807,4.6462024443317205,0.0035415333591263254,10,"[2, 4, 8, 12, 14, 15, 25, 27, 28, 29]",,2.0,9.365650500054471,590.6343494999455,False,31,30,True,first_30_assets
port1,10,simulated_annealing,0.000662139260398807,0.0006654053260615921,2.3601133388999212e-06,0.02573206677277997,0.025795411048458377,0.9497006943371767,0.003541534344958265,10,"[3, 5, 8, 12, 14, 23, 25, 27, 28, 29]",,2.0,23.31107741605956,576.6889225839404,False,31,30,True,first_30_assets
port1,20,no_sparsity,0.0006546898286312237,0.0006546898286312237,0.0,0.025586907367464787,0.025586907367464787,0.0010828971862792969,0.003541533477941653,11,"[1, 4, 8, 12, 14, 15, 16, 25, 27, 28, 29]",,,26.16434683301486,573.8356531669851,False,31,30,True,first_30_assets
port1,20,cardinality,0.0006546876720344785,0.0006546876720344785,0.0,0.025586865224846878,0.025586865224846878,0.0022940635681152344,0.003541533333333333,10,"[4, 8, 12, 14, 15, 16, 25, 27, 28, 29]",0.0,2.0,26.17906212504022,573.8209378749598,False,31,30,True,first_30_assets
port1,20,genetic_algorithm,0.0006546876736218108,0.0006546876740429237,3.562004281704182e-13,0.025586865255865378,0.025586865264094465,13.099108930017488,0.0035415333364091873,20,"[2, 4, 5, 6, 7, 8, 10, 12, 14, 15, 16, 17, 18, 20, 23, 25, 26, 27, 28, 29]",,2.0,26.195216666092165,573.8047833339078,False,31,30,True,first_30_assets
port1,20,simulated_annealing,0.0006546876782548569,0.0006549811409421081,4.145260630930035e-07,0.025586865346401012,0.02559259805823173,2.644962944672443,0.003541533338673988,20,"[0, 2, 3, 4, 5, 6, 8, 10, 12, 14, 15, 16, 17, 19, 20, 23, 25, 27, 28, 29]",,2.0,65.50141800008714,534.4985819999129,False,31,30,True,first_30_assets
port2,5,no_sparsity,0.00017648418656778273,0.00017648418656778273,0.0,0.013284735095882896,0.013284735095882896,0.0010509490966796875,0.0023451078627987087,21,"[0, 1, 2, 3, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 28, 29]",,,73.44592595810536,526.5540740418946,False,85,30,True,first_30_assets
port2,5,cardinality,0.00021904357895962933,0.00021904357895962933,0.0,0.014800120910304393,0.014800120910304393,0.0819849967956543,0.0021763000000000004,5,"[3, 9, 11, 12, 18]",0.0,2.0,73.46051200001966,526.5394879999803,False,85,30,True,first_30_assets
port2,5,genetic_algorithm,0.00021904441505838214,0.00021941323121746941,2.607924071017819e-07,0.014800149156626164,0.014812601179098746,2.645339027939675,0.002177900998472627,5,"[3, 9, 11, 12, 18]",,2.0,73.56234104104806,526.4376589589519,False,85,30,True,first_30_assets
port2,5,simulated_annealing,0.00022805639155954206,0.00023516642384974334,5.050283854564304e-06,0.015101536066226577,0.015334246213370503,0.49775540297074866,0.002176306848940078,5,"[3, 8, 11, 12, 18]",,2.0,81.5061624160735,518.4938375839265,False,85,30,True,first_30_assets
port2,10,no_sparsity,0.00017648418656778273,0.00017648418656778273,0.0,0.013284735095882896,0.013284735095882896,0.0010361671447753906,0.0023451078627987087,21,"[0, 1, 2, 3, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 28, 29]",,,83.00415304105263,516.9958469589474,False,85,30,True,first_30_assets
port2,10,cardinality,0.00017972926288979457,0.00017972926288979457,0.0,0.013406314291772909,0.013406314291772909,0.024856090545654297,0.0021763,10,"[1, 2, 3, 7, 9, 11, 12, 18, 19, 21]",0.0,2.0,83.0191982910037,516.9808017089963,False,85,30,True,first_30_assets
port2,10,genetic_algorithm,0.00017973138016731858,0.00017982256079575697,1.2894888136327434e-07,0.013406393257223159,0.013409792604087459,4.6926277639577165,0.0021826490795154676,10,"[1, 2, 3, 7, 9, 11, 12, 18, 19, 21]",,2.0,83.05880116601475,516.9411988339853,False,85,30,True,first_30_assets
