experiment,dataset,K,category,method,variance,risk,return,number_of_selected_assets,selected_indices,selected_tickers,selected_assets,solve_time,mip_gap,status,original_number_of_assets,number_of_assets_used,reduced_instance,reduction_rule
OR-Library,port1,5,Best Sparse,cardinality,0.0006671551769144,0.025829347202639,0.003504064516129,5,"[14, 25, 27, 28, 29]",,,0.0295078754425048,0.0,2.0,31.0,31.0,False,none
OR-Library,port1,5,Genetic Algorithm,genetic_algorithm,0.0006671552189476,0.0258293480163089,0.003504068538674,5,"[14, 25, 27, 28, 29]",,,3.4179388330085203,,2.0,31.0,31.0,False,none
OR-Library,port1,5,Gurobi Cardinality,cardinality,0.0006671551769144,0.025829347202639,0.003504064516129,5,"[14, 25, 27, 28, 29]",,,0.0295078754425048,0.0,2.0,31.0,31.0,False,none
OR-Library,port1,5,No-Sparsity Baseline,no_sparsity,0.0006513607337508,0.0255217698005229,0.0035040647106854,12,"[1, 4, 8, 12, 14, 15, 16, 25, 27, 28, 29, 30]",,,0.0115511417388916,,,31.0,31.0,False,none
OR-Library,port1,5,Simulated Annealing,simulated_annealing,0.0007078304768493,0.026605083665521,0.0035986115664921,5,"[18, 25, 27, 28, 30]",,,0.6197692089481279,,2.0,31.0,31.0,False,none
OR-Library,port1,10,Best Sparse,cardinality,0.0006515786479733,0.0255260386267311,0.003504064516129,10,"[4, 8, 12, 14, 15, 25, 27, 28, 29, 30]",,,0.0168781280517578,0.0,2.0,31.0,31.0,False,none
OR-Library,port1,10,Genetic Algorithm,genetic_algorithm,0.0006525731868895,0.0255455120694327,0.0035040647567442,10,"[1, 4, 8, 14, 15, 25, 27, 28, 29, 30]",,,4.647594708018005,,2.0,31.0,31.0,False,none
OR-Library,port1,10,Gurobi Cardinality,cardinality,0.0006515786479733,0.0255260386267311,0.003504064516129,10,"[4, 8, 12, 14, 15, 25, 27, 28, 29, 30]",,,0.0168781280517578,0.0,2.0,31.0,31.0,False,none
OR-Library,port1,10,No-Sparsity Baseline,no_sparsity,0.0006513607337508,0.0255217698005229,0.0035040647106854,12,"[1, 4, 8, 12, 14, 15, 16, 25, 27, 28, 29, 30]",,,0.001105785369873,,,31.0,31.0,False,none
OR-Library,port1,10,Simulated Annealing,simulated_annealing,0.0006617922551798,0.0257253232278993,0.0035041148181664,10,"[3, 8, 9, 12, 14, 17, 25, 27, 28, 29]",,,0.9362292919540778,,2.0,31.0,31.0,False,none
OR-Library,port1,20,Best Sparse,cardinality,0.0006513595767105,0.0255217471328002,0.003504064516129,11,"[4, 8, 12, 14, 15, 16, 25, 27, 28, 29, 30]",,,0.0028479099273681,0.0,2.0,31.0,31.0,False,none
OR-Library,port1,20,Genetic Algorithm,genetic_algorithm,0.0006513595775127,0.0255217471485146,0.0035040645181964,20,"[3, 4, 5, 8, 9, 10, 12, 13, 14, 15, 16, 17, 20, 23, 24, 25, 27, 28, 29, 30]",,,13.388038500095718,,2.0,31.0,31.0,False,none
OR-Library,port1,20,Gurobi Cardinality,cardinality,0.0006513595767105,0.0255217471328002,0.003504064516129,11,"[4, 8, 12, 14, 15, 16, 25, 27, 28, 29, 30]",,,0.0028479099273681,0.0,2.0,31.0,31.0,False,none
OR-Library,port1,20,No-Sparsity Baseline,no_sparsity,0.0006513607337508,0.0255217698005229,0.0035040647106854,12,"[1, 4, 8, 12, 14, 15, 16, 25, 27, 28, 29, 30]",,,0.0011160373687744,,,31.0,31.0,False,none
