method,seed,variance,risk,selected_indices,selected_tickers,runtime
genetic_algorithm,0,0.00016730742977549634,0.012934737329203725,"[2, 8, 12, 15, 19]","['AMZN', 'V', 'MA', 'XOM', 'PEP']",0.0005171298980712891
genetic_algorithm,1,0.0001596185090322362,0.012634021886645447,"[12, 13, 15, 16, 19]","['MA', 'DIS', 'XOM', 'KO', 'PEP']",0.0007910728454589844
genetic_algorithm,2,0.00015898595074326533,0.012608963111345252,"[0, 8, 15, 16, 19]","['AAPL', 'V', 'XOM', 'KO', 'PEP']",0.00042700767517089844
genetic_algorithm,3,0.00015797095419479325,0.012568649656776707,"[8, 12, 15, 16, 19]","['V', 'MA', 'XOM', 'KO', 'PEP']",0.0004220008850097656
genetic_algorithm,4,0.00016417972841850344,0.01281326376917698,"[4, 15, 16, 17, 19]","['META', 'XOM', 'KO', 'PFE', 'PEP']",0.0004050731658935547
genetic_algorithm,5,0.00015797095419479325,0.012568649656776707,"[8, 12, 15, 16, 19]","['V', 'MA', 'XOM', 'KO', 'PEP']",0.0004830360412597656
genetic_algorithm,6,0.0001594643114500966,0.012627917938048877,"[12, 15, 16, 17, 19]","['MA', 'XOM', 'KO', 'PFE', 'PEP']",0.0004067420959472656
genetic_algorithm,7,0.00015898595074326533,0.012608963111345252,"[0, 8, 15, 16, 19]","['AAPL', 'V', 'XOM', 'KO', 'PEP']",0.0004820823669433594
genetic_algorithm,8,0.0001596185090322362,0.012634021886645447,"[12, 13, 15, 16, 19]","['MA', 'DIS', 'XOM', 'KO', 'PEP']",0.0004069805145263672
genetic_algorithm,9,0.0001603363015959648,0.012662397150459498,"[11, 15, 16, 17, 19]","['PG', 'XOM', 'KO', 'PFE', 'PEP']",0.0004291534423828125
simulated_annealing,0,0.00016017391097245063,0.012655983208445349,"[12, 14, 15, 16, 19]","['MA', 'BAC', 'XOM', 'KO', 'PEP']",0.0004413127899169922
simulated_annealing,1,0.00016537811051899637,0.012859942088477551,"[0, 2, 8, 15, 16]","['AAPL', 'AMZN', 'V', 'XOM', 'KO']",0.0004029273986816406
simulated_annealing,2,0.0001671920542151077,0.0129302766488234,"[10, 12, 15, 17, 19]","['HD', 'MA', 'XOM', 'PFE', 'PEP']",0.0005700588226318359
simulated_annealing,3,0.00016971791549871688,0.013027582872456304,"[1, 7, 12, 15, 19]","['MSFT', 'JPM', 'MA', 'XOM', 'PEP']",0.00042319297790527344
simulated_annealing,4,0.0001649631758054767,0.012843799118854074,"[0, 8, 14, 15, 16]","['AAPL', 'V', 'BAC', 'XOM', 'KO']",0.0005888938903808594
simulated_annealing,5,0.00015984559506308606,0.012643005776439639,"[0, 13, 15, 16, 19]","['AAPL', 'DIS', 'XOM', 'KO', 'PEP']",0.0004067420959472656
simulated_annealing,6,0.00016855453148482868,0.012982855290144332,"[2, 8, 11, 15, 16]","['AMZN', 'V', 'PG', 'XOM', 'KO']",0.0004589557647705078
simulated_annealing,7,0.0001609167453279203,0.012685296422548443,"[8, 11, 15, 16, 19]","['V', 'PG', 'XOM', 'KO', 'PEP']",0.0005550384521484375
simulated_annealing,8,0.00016527789440031845,0.012856045052827034,"[5, 15, 16, 18, 19]","['NVDA', 'XOM', 'KO', 'CSCO', 'PEP']",0.0004520416259765625
simulated_annealing,9,0.0001609167453279203,0.012685296422548443,"[8, 11, 15, 16, 19]","['V', 'PG', 'XOM', 'KO', 'PEP']",0.00041031837463378906
