dataset,category,method,K,alpha,test_mse,number_of_selected_features,selected_feature_names,status
197_cpu_act,Best Gurobi,Best Subset (Gurobi),15.0,,79.12065096216774,15,"[""lread"", ""lwrite"", ""swrite"", ""fork"", ""rchar"", ""wchar"", ""pgout"", ""ppgout"", ""pgfree"", ""atch"", ""pflt"", ""vflt"", ""runqsz"", ""freemem"", ""freeswap""]",optimal
197_cpu_act,Best Hard Cardinality,Best Subset (Gurobi),15.0,,79.12065096216774,15,"[""lread"", ""lwrite"", ""swrite"", ""fork"", ""rchar"", ""wchar"", ""pgout"", ""ppgout"", ""pgfree"", ""atch"", ""pflt"", ""vflt"", ""runqsz"", ""freemem"", ""freeswap""]",optimal
197_cpu_act,Best IHT,IHT,15.0,,80.27934033052703,15,"[""lread"", ""scall"", ""sread"", ""swrite"", ""fork"", ""exec"", ""rchar"", ""wchar"", ""ppgout"", ""atch"", ""pflt"", ""vflt"", ""runqsz"", ""freemem"", ""freeswap""]",converged
197_cpu_act,Best LASSO,LASSO,,0.001,78.79405502203757,21,"[""lread"", ""lwrite"", ""scall"", ""sread"", ""swrite"", ""fork"", ""exec"", ""rchar"", ""wchar"", ""pgout"", ""ppgout"", ""pgfree"", ""pgscan"", ""atch"", ""pgin"", ""ppgin"", ""pflt"", ""vflt"", ""runqsz"", ""freemem"", ""freeswap""]",success
197_cpu_act,Best Overall,OLS,,,78.79250694188973,21,"[""lread"", ""lwrite"", ""scall"", ""sread"", ""swrite"", ""fork"", ""exec"", ""rchar"", ""wchar"", ""pgout"", ""ppgout"", ""pgfree"", ""pgscan"", ""atch"", ""pgin"", ""ppgin"", ""pflt"", ""vflt"", ""runqsz"", ""freemem"", ""freeswap""]",success
197_cpu_act,Best Sparse,Best Subset (Gurobi),15.0,,79.12065096216774,15,"[""lread"", ""lwrite"", ""swrite"", ""fork"", ""rchar"", ""wchar"", ""pgout"", ""ppgout"", ""pgfree"", ""atch"", ""pflt"", ""vflt"", ""runqsz"", ""freemem"", ""freeswap""]",optimal
197_cpu_act,OLS Baseline,OLS,,,78.79250694188973,21,"[""lread"", ""lwrite"", ""scall"", ""sread"", ""swrite"", ""fork"", ""exec"", ""rchar"", ""wchar"", ""pgout"", ""ppgout"", ""pgfree"", ""pgscan"", ""atch"", ""pgin"", ""ppgin"", ""pflt"", ""vflt"", ""runqsz"", ""freemem"", ""freeswap""]",success
Communities_Crime,Best Gurobi,Best Subset (Gurobi),5.0,,0.0184287326097811,5,"[""PctIlleg"", ""racepctblack"", ""MalePctDivorce"", ""HousVacant"", ""PctPersDenseHous""]",optimal
Communities_Crime,Best Hard Cardinality,IHT,15.0,,0.0174601999335319,15,"[""PctIlleg"", ""PctKids2Par"", ""PctFam2Par"", ""PctTeen2Par"", ""racepctblack"", ""FemalePctDiv"", ""PctPopUnderPov"", ""PctVacantBoarded"", ""PctHousOwnOcc"", ""NumIlleg"", ""NumUnderPov"", ""HousVacant"", ""PctPersDenseHous"", ""medIncome"", ""NumInShelters""]",converged
Communities_Crime,Best IHT,IHT,15.0,,0.0174601999335319,15,"[""PctIlleg"", ""PctKids2Par"", ""PctFam2Par"", ""PctTeen2Par"", ""racepctblack"", ""FemalePctDiv"", ""PctPopUnderPov"", ""PctVacantBoarded"", ""PctHousOwnOcc"", ""NumIlleg"", ""NumUnderPov"", ""HousVacant"", ""PctPersDenseHous"", ""medIncome"", ""NumInShelters""]",converged
Communities_Crime,Best LASSO,LASSO,,0.001,0.0178706650462544,21,"[""PctIlleg"", ""PctKids2Par"", ""PctYoungKids2Par"", ""racepctblack"", ""pctWInvInc"", ""pctWPubAsst"", ""MalePctDivorce"", ""PctPopUnderPov"", ""PctVacantBoarded"", ""PctUnemployed"", ""PctHousOwnOcc"", ""PctNotHSGrad"", ""PctHousLess3BR"", ""NumIlleg"", ""HousVacant"", ""PctPersDenseHous"", ""medIncome"", ""PctPolicBlack"", ""PctLess9thGrade"", ""PctWOFullPlumb"", ""NumInShelters""]",success
Communities_Crime,Best Overall,IHT,15.0,,0.0174601999335319,15,"[""PctIlleg"", ""PctKids2Par"", ""PctFam2Par"", ""PctTeen2Par"", ""racepctblack"", ""FemalePctDiv"", ""PctPopUnderPov"", ""PctVacantBoarded"", ""PctHousOwnOcc"", ""NumIlleg"", ""NumUnderPov"", ""HousVacant"", ""PctPersDenseHous"", ""medIncome"", ""NumInShelters""]",converged
Communities_Crime,Best Sparse,IHT,15.0,,0.0174601999335319,15,"[""PctIlleg"", ""PctKids2Par"", ""PctFam2Par"", ""PctTeen2Par"", ""racepctblack"", ""FemalePctDiv"", ""PctPopUnderPov"", ""PctVacantBoarded"", ""PctHousOwnOcc"", ""NumIlleg"", ""NumUnderPov"", ""HousVacant"", ""PctPersDenseHous"", ""medIncome"", ""NumInShelters""]",converged
Communities_Crime,OLS Baseline,OLS,,,0.0182580271270797,30,"[""PctIlleg"", ""PctKids2Par"", ""PctFam2Par"", ""racePctWhite"", ""PctYoungKids2Par"", ""PctTeen2Par"", ""racepctblack"", ""pctWInvInc"", ""pctWPubAsst"", ""FemalePctDiv"", ""TotalPctDiv"", ""PctPersOwnOccup"", ""MalePctDivorce"", ""PctPopUnderPov"", ""PctVacantBoarded"", ""PctUnemployed"", ""PctHousNoPhone"", ""PctHousOwnOcc"", ""PctNotHSGrad"", ""PctHousLess3BR"", ""NumIlleg"", ""NumUnderPov"", ""medFamInc"", ""HousVacant"", ""PctPersDenseHous"", ""medIncome"", ""PctPolicBlack"", ""PctLess9thGrade"", ""PctWOFullPlumb"", ""NumInShelters""]",success
Diabetes,Best Gurobi,Best Subset (Gurobi),5.0,,2811.38510004708,5,"[""sex"", ""bmi"", ""bp"", ""s3"", ""s5""]",optimal
Diabetes,Best Hard Cardinality,Best Subset (Gurobi),5.0,,2811.38510004708,5,"[""sex"", ""bmi"", ""bp"", ""s3"", ""s5""]",optimal
Diabetes,Best IHT,IHT,7.0,,2875.8299422098275,7,"[""sex"", ""bmi"", ""bp"", ""s1"", ""s3"", ""s4"", ""s5""]",converged
Diabetes,Best LASSO,LASSO,,1.0,2824.568094049959,9,"[""age"", ""sex"", ""bmi"", ""bp"", ""s1"", ""s3"", ""s4"", ""s5"", ""s6""]",success
Diabetes,Best Overall,Best Subset (Gurobi),5.0,,2811.38510004708,5,"[""sex"", ""bmi"", ""bp"", ""s3"", ""s5""]",optimal
Diabetes,Best Sparse,Best Subset (Gurobi),5.0,,2811.38510004708,5,"[""sex"", ""bmi"", ""bp"", ""s3"", ""s5""]",optimal
Diabetes,OLS Baseline,OLS,,,2900.193628493482,10,"[""age"", ""sex"", ""bmi"", ""bp"", ""s1"", ""s2"", ""s3"", ""s4"", ""s5"", ""s6""]",success
